refseq	chr	start	end	pos	tss	SYMBOL	ENSEMBL
NM_001038610	chr14	98167765	98171765	1	98169765.0	Dach1	ENSMUSG00000055639
NM_001083881	chr17	14941184	14945184	0	14943184.0	1600012H06Rik	ENSMUSG00000050088
NM_001083810	chr2	101795707	101799707	1	101797707.0	Prr5l	ENSMUSG00000032841
NM_001285913	chr8	99414471	99418471	1	99416471.0	Cdh8	ENSMUSG00000036510
NM_001253822	chr8	91799654	91803654	1	91801654.0	Irx3	ENSMUSG00000031734
NM_001253916	chr5	112575198	112579198	1	112577198.0	Sez6l	ENSMUSG00000058153
NM_001253910	chr6	85706561	85710561	1	85708561.0	Nat8f7	ENSMUSG00000089694
NM_001282108	chr8	78507328	78511328	0	78509328.0	Slc10a7	ENSMUSG00000031684
NM_001281955	chr4	127986044	127990044	0	127988044.0	Csmd2	ENSMUSG00000028804
NM_001270432	chr4	41939634	41943634	0	41941634.0	Gm21586	ENSMUSG00000095234
NM_001270431	chr4	41939634	41943634	0	41941634.0	Gm20878	ENSMUSG00000078747
NM_011321	chr17	23939996	23943996	0	23941996.0	Sbp	ENSMUSG00000024128
NM_001253814	chr5	110229004	110233004	0	110231004.0	Ankle2	ENSMUSG00000029501
NM_031199	chr6	86193227	86197227	0	86195227.0	Tgfa	ENSMUSG00000029999
NM_001134644	chr4	60819483	60823483	1	60821483.0	Gm2083	ENSMUSG00000096688
NM_001105159	chr5	145582730	145586730	1	145584730.0	Cyp3a41b	ENSMUSG00000075552
NM_001136471	chr7	16284795	16288795	1	16286795.0	Ccdc9	ENSMUSG00000041375
NM_001136260	chr5	88885260	88889260	0	88887260.0	Slc4a4	ENSMUSG00000060961
NR_002879	chr1	18221564	18225564	1	18223564.0	Defb44-ps	ENSMUSG00000070977
NM_001005477	chr5	106456166	106460166	1	106458166.0	Barhl2	ENSMUSG00000034384
NM_001286558	chr19	3387378	3391378	0	3389378.0	Mtl5	ENSMUSG00000024905
NM_008491	chr2	32385739	32389739	1	32387739.0	Lcn2	ENSMUSG00000026822
NM_008704	chr11	93966521	93970521	1	93968521.0	Nme1	ENSMUSG00000037601
NM_008060	chr19	8896057	8900057	0	8898057.0	Ganab	ENSMUSG00000071650
NM_009024	chr11	98935696	98939696	0	98937696.0	Rara	ENSMUSG00000037992
NM_007958	chr6	65040667	65044667	0	65042667.0	Smarcad1	ENSMUSG00000029920
NM_008700	chr17	26839565	26843565	1	26841565.0	Nkx2-5	ENSMUSG00000015579
NM_176834	chr2	25240929	25244929	0	25242929.0	Rnf208	ENSMUSG00000044628
NM_177823	chr17	31206066	31210066	0	31208066.0	Ubash3a	ENSMUSG00000042345
NM_177822	chr17	25734040	25738040	0	25736040.0	Mslnl	ENSMUSG00000041062
NM_177821	chr15	81584214	81588214	0	81586214.0	Ep300	ENSMUSG00000055024
NM_177820	chr15	77594125	77598125	1	77596125.0	Apol10b	ENSMUSG00000050014
NM_177819	chr15	71725838	71729838	1	71727838.0	Fam135b	ENSMUSG00000036800
NM_177893	chr7	64372095	64376095	1	64374095.0	Fan1	ENSMUSG00000033458
NM_177816	chr14	40890965	40894965	1	40892965.0	Sh2d4b	ENSMUSG00000037833
NM_001347495	chr11	51057257	51061257	0	51059257.0	Zfp354a	ENSMUSG00000020364
NM_177811	chr13	67419418	67423418	1	67421418.0	Zfp459	ENSMUSG00000055560
NM_177694	chr7	51509029	51513029	0	51511029.0	Ano5	ENSMUSG00000055489
NM_177809	chr13	56436355	56440355	0	56438355.0	Slc25a48	ENSMUSG00000021509
NM_177798	chr10	117146474	117150474	1	117148474.0	Frs2	ENSMUSG00000020170
NM_177808	chr13	41647443	41651443	0	41649443.0	Gm5082	ENSMUSG00000054258
NM_177806	chr12	65034334	65038334	0	65036334.0	Prpf39	ENSMUSG00000035597
NM_177805	chr12	64963742	64967742	0	64965742.0	Fam179b	ENSMUSG00000035614
NM_177794	chr10	68721746	68725746	0	68723746.0	Tmem26	ENSMUSG00000060044
NM_177793	chr10	40681282	40685282	0	40683282.0	Mettl24	ENSMUSG00000045555
NM_177802	chr12	8597066	8601066	1	8599066.0	Slc7a15	ENSMUSG00000020600
NM_177866	chr4	134225383	134229383	1	134227383.0	Catsper4	ENSMUSG00000048003
NR_030562	chrX	66830597	66834597	1	66832597.0	Mir465c-1	ENSMUSG00000095782
NM_001024706	chr14	19600587	19604587	1	19602587.0	Gm5458	ENSMUSG00000095024
NM_001166033	chr2	28838360	28842360	1	28840360.0	Gtf3c4	ENSMUSG00000035666
NM_007966	chr6	52311498	52315498	0	52313498.0	Evx1	ENSMUSG00000005503
NM_007418	chr5	35276566	35280566	0	35278566.0	Adra2c	ENSMUSG00000045318
NM_007417	chr19	54043182	54047182	0	54045182.0	Adra2a	ENSMUSG00000033717
NM_001170868	chr15	37457382	37461382	1	37459382.0	Ncald	ENSMUSG00000051359
NM_001165929	chr17	25784580	25788580	0	25786580.0	Ccdc78	ENSMUSG00000071202
NM_001170954	chr15	83249731	83253731	1	83251731.0	A4galt	ENSMUSG00000047878
NM_001170869	chr10	128746455	128750455	0	128748455.0	Pym1	ENSMUSG00000064030
NM_001166028	chr11	83284726	83288726	1	83286726.0	Slfn14	ENSMUSG00000082101
NM_001177853	chr4	9641717	9645717	1	9643717.0	Asph	ENSMUSG00000028207
NM_001199205	chr11	94042205	94046205	0	94044205.0	Spag9	ENSMUSG00000020859
NM_001198573	chr1	88006551	88010551	1	88008551.0	Usp40	ENSMUSG00000005501
NM_001252506	chr16	23288470	23292470	0	23290470.0	St6gal1	ENSMUSG00000022885
NM_001252659	chr9	21721576	21725576	0	21723576.0	Ldlr	ENSMUSG00000032193
NM_001205227	chr7	107756032	107760032	1	107758032.0	Cyb5r2	ENSMUSG00000048065
NM_001195537	chr15	76292434	76296434	0	76294434.0	Smpd5	ENSMUSG00000071724
NM_001195531	chr8	85065982	85069982	1	85067982.0	Gm5741	ENSMUSG00000095845
NM_001005341	chr11	86991762	86995762	1	86993762.0	Ypel2	ENSMUSG00000018427
NR_105814	chr14	105621770	105625770	1	105623770.0	Mir6390	ENSMUSG00000098780
NM_016868	chr7	17054679	17058679	1	17056679.0	Hif3a	ENSMUSG00000004328
NM_011494	chr1	75208829	75212829	0	75210829.0	Stk16	ENSMUSG00000026201
NM_001199956	chr1	32518999	32522999	1	32520999.0	Gm9839	ENSMUSG00000091318
NM_153806	chr3	122272414	122276414	0	122274414.0	Dnttip2	ENSMUSG00000039756
NR_033199	chr1	33667824	33671824	0	33669824.0	1700001G17Rik	ENSMUSG00000103746
NM_001040695	chr7	46956518	46960518	1	46958518.0	Uevld	ENSMUSG00000043262
NM_001159948	chr1	59235093	59239093	1	59237093.0	Als2	ENSMUSG00000026024
NM_001163587	chr3	130615448	130619448	0	130617448.0	Etnppl	ENSMUSG00000019232
NM_001168218	chr7	118853998	118857998	1	118855998.0	Knop1	ENSMUSG00000030980
NM_001164424	chr18	80254226	80258226	0	80256226.0	Pqlc1	ENSMUSG00000034006
NM_001271797	chr5	91961068	91965068	1	91963068.0	Rchy1	ENSMUSG00000029397
NM_001242606	chr14	54651685	54655685	1	54653685.0	Acin1	ENSMUSG00000022185
NM_001289671	chr15	78426564	78430564	0	78428564.0	Kctd17	ENSMUSG00000033287
NM_001289664	chr6	29317140	29321140	0	29319140.0	Fam71f1	ENSMUSG00000039742
NM_007756	chr5	108548027	108552027	1	108550027.0	Cplx1	ENSMUSG00000033615
NM_008847	chr3	95104930	95108930	1	95106930.0	Pip5k1a	ENSMUSG00000028126
NM_008465	chr16	35981363	35985363	0	35983363.0	Kpna1	ENSMUSG00000022905
NM_001289659	chr2	58753184	58757184	0	58755184.0	Upp2	ENSMUSG00000026839
NM_010750	chr3	55780510	55784510	0	55782510.0	Mab21l1	ENSMUSG00000056947
NM_001252055	chr15	75046837	75050837	1	75048837.0	Ly6c1	ENSMUSG00000079018
NM_001270518	chrY	2898989	2902989	0	2900989.0	Gm4064	ENSMUSG00000102053
NM_001251849	chr19	11015963	11019963	1	11017963.0	Ms4a18	ENSMUSG00000094584
NM_001251843	chr14	34100754	34104754	1	34102754.0	A630023A22Rik	ENSMUSG00000095493
NM_152922	chr17	34613971	34617971	1	34615971.0	Egfl8	ENSMUSG00000015467
NM_152915	chr1	84694221	84698221	1	84696221.0	Dner	ENSMUSG00000036766
NR_105892	chr11	97675060	97679060	0	97677060.0	Mir6927	ENSMUSG00000098881
NM_001042523	chr10	82831951	82835951	0	82833951.0	Txnrd1	ENSMUSG00000020250
NR_039560	chr12	75907103	75911103	0	75909103.0	Mir5101	ENSMUSG00000092922
NM_001130458	chr11	3930078	3934078	1	3932078.0	Tcn2	ENSMUSG00000020432
NM_001271717	chr18	68425840	68429840	1	68427840.0	Mc2r	ENSMUSG00000045569
NM_001271705	chr12	85173982	85177982	1	85175982.0	Pgf	ENSMUSG00000004791
NM_001271695	chr16	95255558	95259558	0	95257558.0	Kcnj15	ENSMUSG00000062609
NM_001290520	chr11	9046991	9050991	1	9048991.0	Sun3	ENSMUSG00000040985
NM_017468	chr5	88485975	88489975	0	88487975.0	Enam	ENSMUSG00000029286
NM_008488	chr7	24900986	24904986	0	24902986.0	Arhgef1	ENSMUSG00000040940
NR_106134	chr7	30587380	30591380	0	30589380.0	Mir3569	ENSMUSG00000098553
NM_009136	chr8	57453923	57457923	0	57455923.0	Scrg1	ENSMUSG00000031610
NM_009133	chr2	181312500	181316500	1	181314500.0	Stmn3	ENSMUSG00000027581
NM_009260	chr11	30196257	30200257	1	30198257.0	Sptbn1	ENSMUSG00000020315
NR_106003	chr5	137294688	137298688	1	137296688.0	Mir7036	ENSMUSG00000098624
NM_001163617	chr3	95752977	95756977	1	95754977.0	Tars2	ENSMUSG00000028107
NM_001163616	chr14	32783963	32787963	0	32785963.0	1810011H11Rik	ENSMUSG00000041707
NM_011711	chr15	99368482	99372482	1	99370482.0	Fmnl3	ENSMUSG00000023008
NM_011255	chr19	38122811	38126811	1	38124811.0	Rbp4	ENSMUSG00000024990
NR_105903	chr12	85243985	85247985	1	85245985.0	Mir6938	ENSMUSG00000098263
NM_001042649	chr8	13286126	13290126	1	13288126.0	Dcun1d2	ENSMUSG00000038506
NM_001035533	chr4	57852562	57856562	0	57854562.0	Akap2	ENSMUSG00000038729
NM_001080158	chr15	82242336	82246336	1	82244336.0	Cenpm	ENSMUSG00000068101
NM_001080132	chr10	91169619	91173619	1	91171619.0	Tmpo	ENSMUSG00000019961
NM_001163815	chr17	57277100	57281100	0	57279100.0	Vav1	ENSMUSG00000034116
NM_001163797	chr5	138617743	138621743	1	138619743.0	Zfp68	ENSMUSG00000058291
NM_001163796	chr17	48262295	48266295	0	48264295.0	Treml4	ENSMUSG00000051682
NM_008318	chr5	104297287	104301287	0	104299287.0	Ibsp	ENSMUSG00000029306
NM_008289	chr8	105516746	105520746	0	105518746.0	Hsd11b2	ENSMUSG00000031891
NM_001289804	chr5	34167526	34171526	1	34169526.0	Poln	ENSMUSG00000045102
NM_015785	chr11	11460419	11464419	1	11462419.0	Zpbp	ENSMUSG00000020193
NM_015784	chr3	54359107	54363107	0	54361107.0	Postn	ENSMUSG00000027750
NM_015783	chr4	156198818	156202818	1	156200818.0	Isg15	ENSMUSG00000035692
NM_015782	chr7	27194271	27198271	1	27196271.0	Snrpa	ENSMUSG00000061479
NM_015781	chr10	111471192	111475192	0	111473192.0	Nap1l1	ENSMUSG00000058799
NM_015779	chr10	79884312	79888312	0	79886312.0	Elane	ENSMUSG00000020125
NM_015780	chr1	139558222	139562222	1	139560222.0	Cfhr1	ENSMUSG00000057037
NM_018770	chr9	47528352	47532352	0	47530352.0	Cadm1	ENSMUSG00000032076
NM_018816	chr17	35129752	35133752	1	35131752.0	Apom	ENSMUSG00000024391
NM_018815	chr6	91114826	91118826	1	91116826.0	Nup210	ENSMUSG00000030091
NM_133982	chr9	57502102	57506102	0	57504102.0	Rpp25	ENSMUSG00000062309
NM_080288	chr13	20088507	20092507	0	20090507.0	Elmo1	ENSMUSG00000041112
NM_007624	chr6	51468616	51472616	0	51470616.0	Cbx3	ENSMUSG00000029836
NM_001110320	chr4	43452626	43456626	1	43454626.0	Cd72	ENSMUSG00000028459
NM_001164838	chr9	111116111	111120111	0	111118111.0	Lrrfip2	ENSMUSG00000032497
NM_008988	chr9	65139189	65143189	0	65141189.0	Igdcc3	ENSMUSG00000032394
NM_008323	chrX	73784897	73788897	1	73786897.0	Idh3g	ENSMUSG00000002010
NM_008321	chr4	136141822	136145822	0	136143822.0	Id3	ENSMUSG00000007872
NM_008665	chr2	181765029	181769029	0	181767029.0	Myt1	ENSMUSG00000010505
NM_008935	chr5	44099736	44103736	1	44101736.0	Prom1	ENSMUSG00000029086
NM_008956	chr10	79852432	79856432	0	79854432.0	Ptbp1	ENSMUSG00000006498
NM_008744	chr11	68384826	68388826	1	68386826.0	Ntn1	ENSMUSG00000020902
NM_008743	chr17	24630682	24634682	0	24632682.0	Nthl1	ENSMUSG00000041429
NM_008741	chr11	31998419	32002419	0	32000419.0	Nsg2	ENSMUSG00000020297
NM_001277575	chr4	73618648	73622648	0	73620648.0	Gm11237	ENSMUSG00000094116
NM_027839	chr7	19963412	19967412	0	19965412.0	Ceacam20	ENSMUSG00000070777
NM_001045554	chr2	164219663	164223663	1	164221663.0	Wfdc15b	ENSMUSG00000018211
NM_001045553	chr8	69623175	69627175	1	69625175.0	Zfp868	ENSMUSG00000060427
NM_001146275	chr18	60374029	60378029	0	60376029.0	Iigp1	ENSMUSG00000054072
NM_001141983	chr19	42245578	42249578	0	42247578.0	Golga7b	ENSMUSG00000042532
NM_001159382	chr11	102817159	102821159	1	102819159.0	Gjc1	ENSMUSG00000034520
NM_001159374	chr11	100086226	100090226	1	100088226.0	Krt32	ENSMUSG00000046095
NR_028555	chr1	39546840	39550840	1	39548840.0	Snord89	ENSMUSG00000077704
NM_001081223	chr18	11655349	11659349	0	11657349.0	Rbbp8	ENSMUSG00000041238
NM_001164705	chr14	60376286	60380286	0	60378286.0	Amer2	ENSMUSG00000021986
NM_001164743	chr13	23837434	23841434	0	23839434.0	Slc17a3	ENSMUSG00000036083
NM_053137	chr18	37433621	37437621	0	37435621.0	Pcdhb12	ENSMUSG00000043458
NM_033593	chr18	37745188	37749188	0	37747188.0	Pcdhga10	ENSMUSG00000102222
NM_019464	chr3	144718335	144722335	1	144720335.0	Sh3glb1	ENSMUSG00000037062
NM_019459	chr7	30458058	30462058	0	30460058.0	Nphs1	ENSMUSG00000006649
NM_019460	chr14	30712849	30716849	0	30714849.0	Sfmbt1	ENSMUSG00000006527
NM_019935	chr19	5558575	5562575	1	5560575.0	Ovol1	ENSMUSG00000024922
NM_019915	chr7	101579161	101583161	1	101581161.0	Art2b	ENSMUSG00000030651
NM_021394	chr2	173216922	173220922	1	173218922.0	Zbp1	ENSMUSG00000027514
NM_024474	chr5	136881107	136885107	1	136883107.0	Col26a1	ENSMUSG00000004415
NM_019455	chr6	65142730	65146730	1	65144730.0	Hpgds	ENSMUSG00000029919
NM_019454	chr2	119323784	119327784	0	119325784.0	Dll4	ENSMUSG00000027314
NM_019451	chr2	24275271	24279271	0	24277271.0	Il1f5	ENSMUSG00000026983
NM_019449	chr19	3933186	3937186	0	3935186.0	Unc93b1	ENSMUSG00000036908
NM_019448	chr10	78047842	78051842	0	78049842.0	Dnmt3l	ENSMUSG00000000730
NM_001310544	chr14	47066977	47070977	0	47068977.0	Samd4	ENSMUSG00000021838
NM_019446	chr2	28914421	28918421	1	28916421.0	Barhl1	ENSMUSG00000026805
NM_021557	chr12	79189819	79193819	1	79191819.0	Rdh11	ENSMUSG00000066441
NM_019444	chr11	101244334	101248334	0	101246334.0	Ramp2	ENSMUSG00000001240
NM_019443	chrX	37189238	37193238	1	37191238.0	Ndufa1	ENSMUSG00000016427
NM_019442	chr17	34834903	34838903	1	34836903.0	Stk19	ENSMUSG00000061207
NM_019441	chr17	34625148	34629148	1	34627148.0	Ppt2	ENSMUSG00000015474
NM_019440	chr11	58212977	58216977	0	58214977.0	Irgm2	ENSMUSG00000069874
NM_019869	chr19	4809634	4813634	1	4811634.0	Rbm14	ENSMUSG00000006456
NM_019825	chr2	155438783	155442783	1	155440783.0	Ncoa6	ENSMUSG00000038369
NM_021522	chr18	10028149	10032149	1	10030149.0	Usp14	ENSMUSG00000047879
NM_019438	chr5	45667925	45671925	0	45669925.0	Ncapg	ENSMUSG00000015880
NM_001185020	chr6	120036655	120040655	1	120038655.0	Wnk1	ENSMUSG00000045962
NM_001159572	chr10	60344851	60348851	0	60346851.0	Vsir	ENSMUSG00000020101
NM_001159553	chr2	152667461	152671461	0	152669461.0	H13	ENSMUSG00000019188
NM_001146351	chr6	41603482	41607482	0	41605482.0	Ephb6	ENSMUSG00000029869
NM_001146690	chr10	88501970	88505970	1	88503970.0	Chpt1	ENSMUSG00000060002
NM_001252629	chr13	100121205	100125205	0	100123205.0	Smn1	ENSMUSG00000021645
NM_001159367	chr11	69098158	69102158	0	69100158.0	Per1	ENSMUSG00000020893
NM_008337	chr10	118439046	118443046	0	118441046.0	Ifng	ENSMUSG00000055170
NM_008316	chr11	9009191	9013191	1	9011191.0	Hus1	ENSMUSG00000020413
NM_201226	chr4	154009803	154013803	0	154011803.0	Lrrc47	ENSMUSG00000029028
NR_039597	chr12	76531212	76535212	1	76533212.0	Mir5135	ENSMUSG00000092738
NM_001113353	chr17	5939280	5943280	0	5941280.0	Synj2	ENSMUSG00000023805
NM_001099299	chr4	153480830	153484830	1	153482830.0	Ajap1	ENSMUSG00000039546
NM_001135093	chr6	30956990	30960990	1	30958990.0	Klf14	ENSMUSG00000073209
NM_001162921	chr9	52166111	52170111	1	52168111.0	Zc3h12c	ENSMUSG00000035164
NM_001163017	chrX	135837034	135841034	0	135839034.0	Gprasp2	ENSMUSG00000072966
NM_001160178	chr15	89384891	89388891	0	89386891.0	Klhdc7b	ENSMUSG00000091680
NM_008940	chr7	43795577	43799577	0	43797577.0	Klk8	ENSMUSG00000064023
NM_011872	chr7	43809294	43813294	0	43811294.0	Klk7	ENSMUSG00000030713
NM_001114400	chrX	148661604	148665604	0	148663604.0	Gm15127	ENSMUSG00000096834
NM_013836	chr15	82910134	82914134	1	82912134.0	Tcf20	ENSMUSG00000041852
NM_012049	chr1	171343645	171347645	1	171345645.0	Nit1	ENSMUSG00000013997
NM_001160386	chr1	46064738	46068738	0	46066738.0	Dnah7b	ENSMUSG00000041144
NR_105819	chr8	111448200	111452200	0	111450200.0	Mir1957b	ENSMUSG00000098410
NM_024284	chr17	24848490	24852490	0	24850490.0	Hagh	ENSMUSG00000024158
NM_025527	chr18	34329145	34333145	0	34331145.0	Srp19	ENSMUSG00000014504
NM_024282	chr1	178185417	178189417	0	178187417.0	Desi2	ENSMUSG00000026502
NM_024282	chr1	178185417	178189417	0	178187417.0	Desi2	ENSMUSG00000111522
NM_025299	chr18	80204798	80208798	0	80206798.0	Txnl4a	ENSMUSG00000057130
NM_025559	chr11	98436988	98440988	1	98438988.0	Mien1	ENSMUSG00000002580
NM_025558	chr8	107148661	107152661	0	107150661.0	Cyb5b	ENSMUSG00000031924
NM_025556	chr8	13888271	13892271	1	13890271.0	Coprs	ENSMUSG00000031458
NM_025555	chr3	145936032	145940032	0	145938032.0	2410004B18Rik	ENSMUSG00000036873
NM_025554	chr10	80037659	80041659	1	80039659.0	Polr2e	ENSMUSG00000004667
NM_144927	chr8	31148316	31152316	0	31150316.0	Tti2	ENSMUSG00000031577
NM_139065	chr5	66096179	66100179	1	66098179.0	Rbm47	ENSMUSG00000070780
NM_138665	chr2	27245303	27249303	1	27247303.0	Sardh	ENSMUSG00000009614
NM_138664	chr16	91616999	91620999	1	91618999.0	Dnajc28	ENSMUSG00000039763
NM_138663	chr18	37018230	37022230	0	37020230.0	Pcdha12	ENSMUSG00000103310
NM_178642	chr7	144736592	144740592	1	144738592.0	Ano1	ENSMUSG00000031075
NM_144514	chr11	22980284	22984284	1	22982284.0	Commd1	ENSMUSG00000051355
NM_138660	chr11	98807808	98811808	0	98809808.0	Casc3	ENSMUSG00000078676
NM_138659	chr11	75484777	75488777	0	75486777.0	Prpf8	ENSMUSG00000020850
NM_138657	chr11	97360551	97364551	0	97362551.0	Socs7	ENSMUSG00000038485
NM_138654	chr13	17692765	17696765	1	17694765.0	Sugct	ENSMUSG00000055137
NM_138653	chr4	62478067	62482067	0	62480067.0	Bspry	ENSMUSG00000028392
NR_003628	chr16	4227229	4231229	0	4229229.0	Gm5766	ENSMUSG00000089645
NM_175525	chr6	112386023	112390023	1	112388023.0	Ssu2	ENSMUSG00000034387
NM_175517	chr4	43666859	43670859	1	43668859.0	Fam221b	ENSMUSG00000043633
NM_016928	chr1	182952788	182956788	0	182954788.0	Tlr5	ENSMUSG00000079164
NR_134977	chr6	89094110	89098110	0	89096110.0	4933427D06Rik	ENSMUSG00000055403
NM_201227	chr8	84820823	84824823	1	84822823.0	Dand5	ENSMUSG00000053226
NM_178186	chr13	22040949	22044949	1	22042949.0	Hist1h2ag	ENSMUSG00000069301
